# Cross-section point pairs (easting northing)
# Consecutive row pairs define one cross-section line segment.
# Coordinates in NZTM2000.

# Inlet
2064501.63854057 5793247.09248503
2064758.37370350 5793591.71896500

# SH35_Bridge
2065696.62192303 5792647.11859977
2065726.42076197 5792810.31284082

# DS_Bridge
2067271.74544979 5793139.77870003
2066983.58865760 5793408.61683900

# Kuru_Site
2068420.48215896 5794783.70846933
2068219.62607813 5795061.81688895

# Outlet
2069380.43929083 5795506.82450470
2069021.93523449 5795837.57340829
